Original	Tradução	Observações
Quest	Missão	
Skill	Habilidade	
Item	Item	
Weapon	Arma	
Armor	Armadura	
Health	Vida	HP
Stamina	Vigor	
Experience	Experiência	XP
Level	Nível	
Guild	Guilda	
Party	Grupo	
Dungeon	Masmorra	
Boss	Chefe	
NPC	NPC	Não traduzir
Reward	Recompensa	
Inventory	Inventário	
Equipment	Equipamento	
Attack	Ataque	
Defense	Defesa	
Damage	Dano	
Critical	Crítico	
Dodge	Esquiva	
Block	Bloqueio	
Heal	Curar	
Buff	Buff	Não traduzir
Debuff	Debuff	Não traduzir
Cooldown	Recarga	Tempo de espera
Mana	Mana	Não traduzir
Qi	Qi	Energia interna chinesa
Martial Arts	Artes Marciais	
Sword	Espada	
Blade	Lâmina	
Spear	Lança	
Staff	Bastão	
Bow	Arco	
Dagger	Adaga	
Fist	Punho	
Palm	Palma	Técnica de palma
Kick	Chute	
Combo	Combo	Não traduzir
Ultimate	Definitiva	Habilidade suprema
Passive	Passiva	
Active	Ativa	
Talent	Talento	
Attribute	Atributo	
Strength	Força	
Agility	Agilidade	
Intelligence	Inteligência	
Spirit	Espírito	
Vitality	Vitalidade	
Luck	Sorte	
Mount	Montaria	
Pet	Mascote	
Companion	Companheiro	
Follower	Seguidor	
Master	Mestre	
Disciple	Discípulo	
Sect	Seita	Escola de artes marciais
Clan	Clã	
Dynasty	Dinastia	
Emperor	Imperador	
Prince	Príncipe	
Princess	Princesa	
General	General	
Soldier	Soldado	
Guard	Guarda	
Merchant	Mercador	
Blacksmith	Ferreiro	
Alchemist	Alquimista	
Herbalist	Herbalista	
Cook	Cozinheiro	
Fisher	Pescador	
Farmer	Fazendeiro	
Miner	Minerador	
Woodcutter	Lenhador	
Tailor	Alfaiate	
Jeweler	Joalheiro	
Map	Mapa	
Waypoint	Ponto de viagem	
Teleport	Teleportar	
Fast Travel	Viagem rápida	
Checkpoint	Ponto de controle	
Save	Salvar	
Load	Carregar	
Settings	Configurações	
Options	Opções	
Graphics	Gráficos	
Audio	Áudio	
Controls	Controles	
Keybind	Atalho de teclado	
Chat	Chat	Não traduzir
Whisper	Sussurro	Mensagem privada
World Chat	Chat Mundial	
Guild Chat	Chat da Guilda	
Party Chat	Chat do Grupo	
Friend	Amigo	
Block	Bloquear	
Report	Denunciar	
Trade	Trocar	
Auction	Leilão	
Shop	Loja	
Buy	Comprar	
Sell	Vender	
Price	Preço	
Discount	Desconto	
Currency	Moeda	
Gold	Ouro	
Silver	Prata	
Copper	Cobre	
Gem	Gema	
Crystal	Cristal	
Token	Ficha	
Voucher	Cupom	
Event	Evento	
Daily	Diária	
Weekly	Semanal	
Monthly	Mensal	
Achievement	Conquista	
Title	Título	
Rank	Ranking	
Score	Pontuação	
Leaderboard	Placar	
Season	Temporada	
Pass	Passe	
Premium	Premium	Não traduzir
VIP	VIP	Não traduzir
